State,Abbreviation,Vote
Alaska,AK,R
Alabama,AL,R
Arkansas,AR,R
Arizona,AZ,D
California,CA,D
Colorado,CO,D
Connecticut,CT,D
District of Columbia,DC,D
Delaware,DE,D
Florida,FL,R
Georgia,GA,D
Hawaii,HI,D
Iowa,IA,R
Idaho,ID,R
Illinois,IL,D
Indiana,IN,R
Kansas,KS,R
Kentucky,KY,R
Louisiana,LA,R
Massachusetts,MA,D
Maryland,MD,D
Maine,ME,D
Michigan,MI,D
Minnesota,MN,D
Missouri,MO,R
Mississippi,MS,R
Montana,MT,R
North Carolina,NC,R
North Dakota,ND,R
Nebraska,NE,R
New Hampshire,NH,D
New Jersey,NJ,D
New Mexico,NM,D
Nevada,NV,D
New York,NY,D
Ohio,OH,R
Oklahoma,OK,R
Oregon,OR,D
Pennsylvania,PA,D
Rhode Island,RI,D
South Carolina,SC,R
South Dakota,SD,R
Tennessee,TN,R
Texas,TX,R
Utah,UT,R
Virginia,VA,D
Vermont,VT,D
Washington,WA,D
Wisconsin,WI,D
West Virginia,WV,R
Wyoming,WY,R
